NAME,SEASON,PTS,REB,AST,USG%,TS%,BLK,STL,FT%,3P%,FG%,G,PER,WS,BPM,VORP
Wendell Carter Jr.,2018-2019,453.20000000000005,308.0,79.2,19.0,0.541,57.2,26.4,0.795,0.188,0.485,44,15.2,1.9,-0.5,0.4
Wesley Johnson,2018-2019,129.2,72.2,22.8,11.4,0.469,11.4,15.200000000000001,0.684,0.32899999999999996,0.35200000000000004,38,5.5,0.0,-4.3,-0.3
Wesley Matthews,2018-2019,841.8,172.5,158.7,17.3,0.546,13.8,55.2,0.81,0.37200000000000005,0.4,69,10.3,2.7,-1.5,0.3
Will Barton,2018-2019,494.5,197.79999999999998,124.7,19.4,0.501,21.5,17.2,0.77,0.342,0.402,43,11.0,1.2,-2.3,-0.1
Willie Cauley-Stein,2018-2019,963.9,680.4,194.4,17.2,0.5660000000000001,48.6,97.2,0.551,0.5,0.556,81,18.0,6.7,2.0,2.3
Willy Hernangomez,2018-2019,423.4,313.20000000000005,58.0,20.3,0.5870000000000001,17.4,17.4,0.6940000000000001,0.385,0.519,58,20.4,2.6,-0.2,0.4
Wilson Chandler,2018-2019,306.0,214.20000000000002,81.60000000000001,11.5,0.537,20.400000000000002,25.5,0.72,0.373,0.418,51,8.5,1.5,-1.0,0.3
Yante Maten,2018-2019,2.0,3.0,0.0,13.3,0.25,0.0,1.0,,0.0,0.25,2,5.7,0.0,-10.6,0.0
Yogi Ferrell,2018-2019,418.90000000000003,106.5,134.9,15.8,0.55,7.1000000000000005,35.5,0.8959999999999999,0.36200000000000004,0.435,71,12.7,1.9,-2.3,-0.1
Yuta Watanabe,2018-2019,39.0,31.5,7.5,14.8,0.35200000000000004,1.5,4.5,0.7,0.125,0.294,15,3.3,-0.2,-9.3,-0.3
Zach Collins,2018-2019,508.2,323.40000000000003,69.3,16.4,0.562,69.3,23.099999999999998,0.746,0.331,0.473,77,13.5,2.9,0.1,0.7
Zach LaVine,2018-2019,1493.1,296.1,283.5,29.6,0.574,25.200000000000003,63.0,0.8320000000000001,0.374,0.467,63,18.7,2.8,0.0,1.1
Zaza Pachulia,2018-2019,265.2,265.2,88.4,14.6,0.539,20.4,34.0,0.782,0.0,0.44,68,13.7,2.3,0.2,0.5
Zhaire Smith,2018-2019,40.2,13.200000000000001,10.2,16.4,0.5329999999999999,1.7999999999999998,1.7999999999999998,0.75,0.375,0.41200000000000003,6,9.5,0.1,-4.0,-0.1
Zhou Qi,2018-2019,2.0,0.0,0.0,33.3,1.0,0.0,0.0,,,1.0,1,80.4,0.0,9.5,0.0
