NAME,SEASON,FG%,3P%,FT%,REB,AST,STL,BLK,PTS,G,PER,TS%,USG%,WS,BPM,VORP
Bruno Caboclo,2017-2018,0.29,0.17600000000000002,0.833,22,4,3,4,26,12,7.7,0.386,15.8,0.0,-4.9,-0.1
Solomon Hill,2017-2018,0.268,0.19,0.5,36,22,7,1,29,12,4.8,0.332,12.2,-0.1,-3.8,-0.1
Kyle Singler,2017-2018,0.33299999999999996,0.4,0.5379999999999999,10,2,1,0,23,12,5.9,0.43,21.6,0.0,-11.8,-0.1
Mike Conley,2017-2018,0.381,0.312,0.8029999999999999,27,49,12,3,205,12,15.4,0.52,25.9,0.6,-2.3,0.0
Johnathan Motley,2017-2018,0.5329999999999999,0.16699999999999998,0.536,49,7,3,2,96,11,17.2,0.55,24.9,0.3,-4.9,-0.1
Patrick Beverley,2017-2018,0.40299999999999997,0.4,0.8240000000000001,45,32,19,5,134,11,12.3,0.53,19.6,0.4,0.6,0.2
Ike Anigbogu,2017-2018,0.444,,0.833,9,0,1,3,13,11,21.6,0.5579999999999999,20.3,0.1,-5.4,0.0
Mirza Teletovic,2017-2018,0.439,0.467,,23,10,4,1,71,10,13.5,0.623,18.2,0.3,-1.6,0.0
Milton Doyle,2017-2018,0.27699999999999997,0.174,0.5,18,10,6,2,34,10,5.2,0.337,18.2,-0.1,-5.8,-0.1
James Webb,2017-2018,0.25,0.21100000000000002,,24,4,1,0,16,10,2.2,0.33299999999999996,10.1,-0.1,-6.6,-0.1
Larry Drew,2017-2018,0.292,0.33299999999999996,,3,10,0,0,17,10,2.9,0.354,16.6,-0.1,-10.7,-0.2
Nigel Hayes,2017-2018,0.33299999999999996,0.25,0.33299999999999996,22,6,2,3,27,9,6.4,0.39299999999999996,13.3,-0.1,-6.4,-0.1
Aaron Harrison,2017-2018,0.275,0.209,0.765,24,11,9,2,60,9,5.1,0.392,15.5,-0.1,-4.1,-0.1
Georges Niang,2017-2018,0.364,0.0,0.5,9,3,2,0,9,9,9.2,0.379,20.9,0.0,-4.0,0.0
Tony Bradley,2017-2018,0.273,0.0,1.0,11,1,0,0,8,9,9.5,0.337,18.4,0.0,-9.6,-0.1
Kawhi Leonard,2017-2018,0.46799999999999997,0.314,0.816,42,21,18,9,146,9,26.0,0.5720000000000001,30.6,0.9,5.9,0.4
Jeff Withey,2017-2018,0.375,0.2,0.5,10,0,0,3,15,9,8.3,0.444,22.0,0.0,-12.8,-0.1
Marshall Plumlee,2017-2018,0.33299999999999996,,0.75,17,2,0,1,14,8,10.9,0.6970000000000001,11.3,0.2,-5.7,0.0
Jon Leuer,2017-2018,0.41700000000000004,0.0,0.867,32,5,1,3,43,8,8.9,0.505,16.1,0.1,-5.9,-0.1
Jack Cooley,2017-2018,0.48100000000000004,,0.737,30,6,1,0,40,7,19.7,0.5660000000000001,19.8,0.3,-1.6,0.0
MarShon Brooks,2017-2018,0.5,0.594,0.87,21,25,11,3,141,7,26.1,0.629,29.8,0.7,4.1,0.3
Joakim Noah,2017-2018,0.5,,0.5,14,4,2,2,12,7,15.6,0.51,17.2,0.1,1.0,0.0
Wade Baldwin,2017-2018,0.667,0.8,0.6,8,5,2,1,38,7,16.6,0.748,16.1,0.3,0.0,0.0
Gian Clavell,2017-2018,0.33299999999999996,0.4,1.0,7,3,2,0,20,7,7.4,0.53,14.8,0.1,-3.6,0.0
Joel Bolomboy,2017-2018,0.5,0.0,0.5,10,0,2,0,9,6,11.7,0.521,12.6,0.1,-7.7,-0.1
James Young,2017-2018,0.35700000000000004,0.3,0.667,2,2,0,0,17,6,4.6,0.511,12.3,0.1,-6.6,-0.1
Jaylen Morris,2017-2018,0.406,0.2,,16,7,2,1,28,6,6.5,0.43799999999999994,16.9,-0.1,-7.1,-0.1
Xavier Munford,2017-2018,0.16699999999999998,0.0,0.5,1,4,1,0,3,6,-2.1,0.218,19.1,-0.1,-13.7,-0.1
Okaro White,2017-2018,0.43799999999999994,0.364,0.667,11,2,1,1,20,6,8.9,0.5770000000000001,10.3,0.2,-2.9,0.0
Daniel Hamilton,2017-2018,0.455,0.4,,5,8,1,0,12,6,18.2,0.545,19.9,0.1,-1.6,0.0
Marcus Paige,2017-2018,0.28600000000000003,0.25,1.0,4,3,0,0,12,5,9.1,0.40299999999999997,23.0,0.0,-6.9,0.0
Josh Gray,2017-2018,0.268,0.231,0.636,10,12,8,2,32,5,7.2,0.349,26.1,-0.2,-5.5,-0.1
Nate Wolters,2017-2018,0.16699999999999998,,,2,1,0,0,2,5,-2.9,0.16699999999999998,14.2,-0.1,-12.4,0.0
R.J. Hunter,2017-2018,0.35,0.214,1.0,5,3,3,0,19,5,8.5,0.455,22.5,0.0,-4.5,0.0
Alan Williams,2017-2018,0.389,,0.667,22,8,5,1,20,5,9.3,0.455,17.5,0.0,-3.7,0.0
Jacob Wiley,2017-2018,0.25,0.5,0.5,11,2,1,0,4,5,8.2,0.41,6.4,0.1,-3.0,0.0
Adreian Payne,2017-2018,0.7,0.667,0.833,9,0,2,0,21,5,18.8,0.831,15.0,0.2,-4.1,0.0
Walt Lemon Jr.,2017-2018,0.43799999999999994,1.0,0.667,2,5,0,1,17,5,6.9,0.491,26.4,-0.1,-11.7,-0.1
Xavier Rathan-Mayes,2017-2018,0.28600000000000003,0.071,0.444,5,18,6,3,29,5,0.9,0.315,21.7,-0.4,-10.7,-0.3
Vander Blue,2017-2018,0.2,0.0,0.5,1,3,1,0,3,5,-1.8,0.255,8.4,-0.1,-10.0,-0.1
Jordan Crawford,2017-2018,0.444,0.5710000000000001,1.0,4,13,1,1,33,5,19.1,0.601,26.5,0.2,-0.9,0.0
Erik McCree,2017-2018,0.0,0.0,,1,0,1,0,0,4,-8.9,0.0,16.9,-0.1,-14.7,0.0
Omari Johnson,2017-2018,0.429,0.33299999999999996,,11,7,2,0,22,4,10.5,0.524,14.4,0.1,-2.8,0.0
Markel Brown,2017-2018,0.28600000000000003,0.2,,5,2,0,0,5,4,-1.2,0.35700000000000004,12.8,0.0,-8.4,-0.1
Mangok Mathiang,2017-2018,0.5710000000000001,,0.0,10,0,1,0,8,4,18.0,0.5379999999999999,16.1,0.1,-9.8,0.0
Vince Hunter,2017-2018,0.6,,,3,0,0,1,6,4,35.8,0.6,38.5,0.0,-9.0,0.0
Nicolas Brussino,2017-2018,0.0,0.0,,3,0,0,0,0,4,-4.6,0.0,8.7,0.0,-18.5,0.0
Jonathan Gibson,2017-2018,0.609,0.5,,3,4,0,0,34,4,25.4,0.7390000000000001,29.0,0.2,1.9,0.0
Matt Costello,2017-2018,0.5,,,9,2,2,2,4,4,9.7,0.5,7.0,0.1,1.6,0.0
Josh Smith,2017-2018,0.25,,,4,0,0,0,2,3,3.5,0.25,14.4,0.0,-13.4,0.0
Monte Morris,2017-2018,0.667,0.0,1.0,2,7,3,0,10,3,27.1,0.727,13.7,0.2,2.0,0.0
Matt Williams,2017-2018,0.33299999999999996,0.2,,1,0,0,0,5,3,-0.7,0.41700000000000004,28.6,0.0,-17.1,0.0
Tim Quarterman,2017-2018,0.33299999999999996,0.0,1.0,3,1,0,0,4,3,2.9,0.515,20.0,0.0,-10.8,0.0
Jacob Pullen,2017-2018,0.5,0.0,,0,0,0,0,2,3,-2.3,0.5,21.3,0.0,-15.2,0.0
Reggie Hearn,2017-2018,0.5,0.5,,0,0,0,0,3,3,13.1,0.75,12.7,0.0,-2.3,0.0
James Michael McAdoo,2017-2018,0.28600000000000003,0.28600000000000003,1.0,2,0,0,1,8,3,7.4,0.508,21.0,0.0,-8.7,0.0
Jameel Warney,2017-2018,0.583,,0.6,9,0,0,0,17,3,22.6,0.599,25.6,0.1,-12.2,-0.1
Marquis Teague,2017-2018,0.25,0.25,0.4,6,13,4,0,11,3,5.7,0.302,12.9,-0.1,-7.3,-0.1
Jarell Eddie,2017-2018,0.0,0.0,,1,0,1,0,0,3,-1.9,0.0,9.8,0.0,-8.4,0.0
David Stockton,2017-2018,0.667,0.667,1.0,0,0,0,0,10,3,33.9,1.05,28.8,0.1,6.7,0.0
Ben Moore,2017-2018,,,,1,1,0,0,0,2,-2.3,,0.0,0.0,-5.0,0.0
PJ Dozier,2017-2018,0.5,,,1,0,0,0,2,2,-5.0,0.5,42.9,0.0,-34.0,0.0
Josh McRoberts,2017-2018,0.0,0.0,,0,0,0,0,0,2,-12.5,0.0,7.6,0.0,-12.2,0.0
Andre Ingram,2017-2018,0.47100000000000003,0.556,1.0,6,7,3,3,24,2,16.3,0.655,14.1,0.2,1.3,0.1
Luis Montero,2017-2018,0.0,,,2,0,0,0,0,2,-15.5,0.0,16.6,-0.1,-25.9,0.0
Derrick Williams,2017-2018,0.25,0.0,,1,0,0,0,2,2,-3.2,0.25,18.9,0.0,-18.1,0.0
Xavier Silas,2017-2018,0.0,0.0,,2,0,1,0,0,2,-4.9,0.0,19.1,0.0,-13.4,0.0
Mindaugas Kuzminskas,2017-2018,0.0,,,0,0,0,0,0,1,-41.1,0.0,43.6,0.0,-49.3,0.0
Devin Robinson,2017-2018,0.33299999999999996,,,5,0,1,0,2,1,10.5,0.33299999999999996,10.2,0.0,-8.2,0.0
Jeremy Evans,2017-2018,1.0,,,1,0,0,0,2,1,10.4,1.0,17.5,0.0,-8.3,0.0
Scotty Hopson,2017-2018,0.0,,0.5,0,1,0,0,1,1,-4.6,0.266,16.3,0.0,-20.7,0.0
Aaron Jackson,2017-2018,0.33299999999999996,0.25,0.5,3,1,0,0,8,1,2.4,0.405,13.7,0.0,-7.7,-0.1
Anthony Brown,2017-2018,1.0,1.0,,0,1,0,0,3,1,41.9,1.5,11.1,0.0,2.1,0.0
Chinanu Onuaku,2017-2018,0.4,,,4,1,0,0,4,1,-3.2,0.4,16.1,-0.1,-12.3,-0.1
Trey McKinney-Jones,2017-2018,,,,0,0,0,0,0,1,0.0,,0.0,0.0,-5.9,0.0
Naz Mitrou-Long,2017-2018,1.0,1.0,,0,0,0,0,3,1,133.8,1.5,45.0,0.1,54.4,0.0
Justin Patton,2017-2018,0.5,,,0,0,1,0,2,1,19.8,0.5,22.1,0.0,3.3,0.0
Jeremy Lin,2017-2018,0.41700000000000004,0.5,1.0,0,4,0,0,18,1,15.9,0.597,31.3,0.0,-13.5,-0.1
Tyler Lydon,2017-2018,,,,0,0,0,0,0,1,0.0,,0.0,0.0,-6.5,0.0
Chris Boucher,2017-2018,0.0,0.0,,1,0,0,0,0,1,-28.5,0.0,43.9,0.0,-59.0,0.0
Kendrick Perkins,2017-2018,0.5,,0.5,1,2,1,0,3,1,8.4,0.521,11.4,0.0,-5.7,0.0
Gordon Hayward,2017-2018,0.5,0.0,,1,0,0,0,2,1,7.3,0.5,17.9,0.0,-12.0,0.0
Luol Deng,2017-2018,0.5,,,0,1,1,0,2,1,5.5,0.5,9.8,0.0,-8.5,0.0
Edmond Sumner,2017-2018,1.0,,,1,0,0,0,2,1,39.8,1.0,22.3,0.0,-5.3,0.0
