,PTS,REB,AST,BLK,STL,G,FG%,3P%,FT%,TS%,USG%,PER,WS,BPM,VORP
11,450.0,211.5,324.0,18.0,72.0,45,0.439,0.203,0.57,0.47,19.5,16.0,1.7,0.0,0.6
58,360.0,92.0,58.0,5.0,35.0,58,0.371,0.344,0.805,0.503,19.3,12.2,1.4,-1.7,0.1
1,1450.4,672.0,218.4,134.4,89.60000000000002,56,0.517,0.331,0.794,0.597,28.7,30.3,9.5,8.5,4.9
55,1466.0,227.0,306.0,17.0,65.0,60,0.491,0.408,0.889,0.61,31.0,25.0,8.9,6.2,4.0
7,1347.0,1012.0,105.0,131.0,48.0,81,0.555,0.14300000000000002,0.574,0.5770000000000001,24.2,20.5,6.8,-0.3,1.1
56,1307.0,314.0,288.0,24.0,116.0,59,0.474,0.35,0.8540000000000001,0.59,24.9,23.7,8.9,5.0,3.8
32,672.0,165.0,88.0,27.0,31.0,73,0.459,0.436,0.889,0.652,16.0,13.4,3.4,0.1,0.9
46,667.0,181.0,186.0,27.0,61.0,67,0.46,0.415,0.7859999999999999,0.58,16.3,13.3,3.2,-0.6,0.6
54,474.5,219.0,138.7,29.200000000000006,87.6,73,0.4320000000000001,0.27,0.667,0.494,15.9,12.4,1.4,-1.3,0.2
24,959.0,478.0,62.0,99.0,29.0,76,0.483,0.36,0.797,0.574,19.4,14.7,5.1,-0.2,1.0
73,555.0,245.0,105.0,44.0,39.0,38,0.464,0.345,0.696,0.5489999999999999,22.0,17.0,2.5,0.7,0.8
2,598.4000000000002,176.8,115.6,6.800000000000002,47.6,68,0.421,0.35600000000000004,0.703,0.542,15.6,10.4,2.4,-2.5,-0.2
31,1596.0,438.0,198.0,24.0,108.0,60,0.496,0.371,0.8540000000000001,0.606,29.8,25.8,9.5,5.0,3.6
68,656.0,125.0,238.0,4.0,27.0,45,0.426,0.308,0.836,0.516,27.1,15.9,2.0,-1.5,0.2
45,377.3,323.4000000000001,46.2,92.4,69.3,77,0.5870000000000001,0.0,0.684,0.608,13.6,19.3,4.3,3.9,1.6
14,1101.6,149.60000000000005,129.2,27.200000000000006,40.8,68,0.409,0.36,0.7829999999999999,0.5489999999999999,21.4,12.2,2.6,-2.9,-0.5
17,1267.0,434.0,537.0,19.0,85.0,78,0.4270000000000001,0.399,0.8540000000000001,0.598,21.7,19.5,10.2,5.9,5.0
6,1346.4,414.8,176.8,20.4,47.6,68,0.463,0.433,0.904,0.633,23.6,21.0,8.2,2.9,2.6
17,493.2,111.6,172.79999999999995,3.6,28.8,36,0.413,0.348,0.782,0.517,22.2,13.9,1.6,-1.2,0.2
24,508.2,105.0,344.4,16.8,42.0,42,0.423,0.333,0.804,0.528,18.5,15.4,2.2,-2.4,-0.1
78,188.0,153.0,18.0,13.0,12.0,32,0.514,0.0,0.706,0.552,18.3,17.4,1.3,-2.3,0.0
39,672.0,168.0,88.0,8.0,40.0,80,0.388,0.355,0.8440000000000001,0.534,15.2,10.7,3.4,-1.3,0.3
25,1088.0,416.0,80.0,104.0,64.0,80,0.4970000000000001,0.392,0.71,0.5920000000000001,14.9,13.8,7.3,0.3,1.5
22,550.0,470.0,158.0,98.0,36.0,77,0.583,0.235,0.772,0.625,17.0,20.0,4.8,4.5,2.3
21,1452.0,468.0,152.0,14.0,49.0,77,0.445,0.35700000000000004,0.8270000000000001,0.539,25.2,15.8,3.8,-2.1,-0.1
16,456.0,150.0,138.0,6.0,54.0,60,0.452,0.314,0.8240000000000001,0.5539999999999999,14.5,12.1,2.8,-1.0,0.3
32,777.1999999999998,261.3,154.1,40.2,87.10000000000002,67,0.402,0.32,0.726,0.507,21.4,11.9,0.7,-2.2,-0.1
