,NAME,SEASON,PTS,REB,AST,BLK,STL,G,FG%,3P%,FT%,TS%,USG%,PER,WS,BPM,VORP,SALARY
31,Markieff Morris,2017-2018,841.0,409.0,142.0,38.0,56.0,73,0.48,0.36700000000000005,0.82,0.5660000000000001,19.5,13.2,3.3,-0.5,0.7,8143323.5
32,Kyle Korver,2017-2018,672.0,165.0,88.0,27.0,31.0,73,0.45899999999999996,0.436,0.889,0.652,16.0,13.4,3.4,0.1,0.9,5708251.0
33,Marc Gasol,2017-2018,1258.0,592.0,305.0,101.0,54.0,73,0.42,0.341,0.8340000000000001,0.532,25.6,17.4,4.0,1.5,2.1,22642350.0
34,Klay Thompson,2017-2018,1461.0,277.0,185.0,34.0,55.0,73,0.488,0.44,0.8370000000000001,0.598,23.7,16.1,4.9,-0.6,0.9,17244862.5
35,Tyler Johnson,2017-2018,843.0,248.0,165.0,34.0,60.0,72,0.435,0.36700000000000005,0.8220000000000001,0.5489999999999999,18.6,13.0,4.2,-0.2,0.9,7719436.25
36,James Harden,2017-2018,2191.0,389.0,630.0,50.0,126.0,72,0.449,0.36700000000000005,0.858,0.619,36.1,29.8,15.4,10.9,8.3,30902124.75
37,Justin Holiday,2017-2018,876.0,291.0,153.0,31.0,80.0,72,0.371,0.359,0.823,0.513,18.2,10.8,1.7,-1.3,0.4,4500000.0
38,Al Horford,2017-2018,927.0,530.0,339.0,78.0,43.0,72,0.489,0.429,0.7829999999999999,0.575,18.4,17.6,7.8,4.0,3.5,27800803.75
39,Enes Kanter,2017-2018,1000.0,780.0,105.0,37.0,36.0,71,0.5920000000000001,0.0,0.848,0.63,21.8,24.0,7.6,2.5,2.1,17675529.25
40,Danny Green,2017-2018,600.0,249.0,110.0,80.0,63.0,70,0.387,0.363,0.769,0.509,16.6,11.4,2.9,1.2,1.4,10000000.0
41,Jeff Teague,2017-2018,994.0,209.0,492.0,23.0,102.0,70,0.446,0.368,0.845,0.5529999999999999,20.6,16.4,4.9,0.2,1.3,19000000.0
42,Draymond Green,2017-2018,773.0,535.0,508.0,91.0,95.0,70,0.45399999999999996,0.301,0.775,0.556,17.2,16.1,6.1,3.2,3.0,16400000.0
43,Al-Farouq Aminu,2017-2018,644.0,525.0,84.0,40.0,79.0,69,0.395,0.369,0.738,0.522,14.8,12.0,4.2,1.1,1.6,7500000.0
44,Eric Gordon,2017-2018,1243.0,170.0,154.0,27.0,44.0,69,0.428,0.359,0.809,0.578,24.7,15.2,4.7,-1.0,0.5,13221697.5
45,Kevin Durant,2017-2018,1792.0,464.0,366.0,119.0,50.0,68,0.516,0.419,0.889,0.64,30.4,26.0,10.4,5.6,4.5,27500000.0
46,George Hill,2017-2018,667.0,181.0,186.0,27.0,61.0,67,0.46,0.415,0.7859999999999999,0.58,16.3,13.3,3.2,-0.6,0.6,16377969.0
47,Garrett Temple,2017-2018,547.0,152.0,124.0,27.0,57.0,65,0.418,0.392,0.769,0.536,16.4,10.2,1.2,-1.9,0.1,8000000.0
48,Kent Bazemore,2017-2018,836.0,248.0,228.0,45.0,100.0,65,0.42,0.39399999999999996,0.7959999999999999,0.547,22.5,14.5,2.2,0.4,1.1,17500000.0
49,Robin Lopez,2017-2018,756.0,290.0,124.0,53.0,14.0,64,0.53,0.28600000000000003,0.7559999999999999,0.552,20.4,14.7,1.9,-1.9,0.0,13503875.0
50,Alec Burks,2017-2018,494.0,192.0,67.0,8.0,37.0,64,0.41100000000000003,0.331,0.863,0.527,22.5,13.1,1.9,-2.8,-0.2,10375000.0
51,Nicolas Batum,2017-2018,740.0,306.0,349.0,23.0,65.0,64,0.415,0.336,0.831,0.523,18.3,14.4,3.5,1.4,1.7,23217391.5
52,Wesley Matthews,2017-2018,802.0,198.0,172.0,16.0,76.0,63,0.406,0.381,0.8220000000000001,0.541,17.6,11.4,2.6,0.1,1.1,17699435.25
53,Reggie Bullock,2017-2018,698.0,154.0,95.0,13.0,47.0,62,0.489,0.445,0.7959999999999999,0.615,15.7,13.6,4.2,0.7,1.2,2500000.0
54,Austin Rivers,2017-2018,920.0,145.0,242.0,16.0,74.0,61,0.424,0.37799999999999995,0.642,0.526,20.6,12.6,2.4,-0.9,0.6,11993441.333333336
55,Kyrie Irving,2017-2018,1466.0,227.0,306.0,17.0,65.0,60,0.491,0.408,0.889,0.61,31.0,25.0,8.9,6.2,4.0,20951075.6
56,Jimmy Butler,2017-2018,1307.0,314.0,288.0,24.0,116.0,59,0.474,0.35,0.8540000000000001,0.59,24.9,23.7,8.9,5.0,3.8,21048050.8
57,Kevin Love,2017-2018,1039.0,546.0,103.0,24.0,43.0,59,0.45799999999999996,0.415,0.88,0.614,25.1,22.4,6.4,1.3,1.4,23311776.0
58,Langston Galloway,2017-2018,360.0,92.0,58.0,5.0,35.0,58,0.371,0.344,0.805,0.503,19.3,12.2,1.4,-1.7,0.1,7000000.0
59,Rudy Gay,2017-2018,655.0,291.0,73.0,38.0,46.0,57,0.47100000000000003,0.314,0.772,0.545,24.6,18.0,3.1,0.3,0.7,9246600.0
60,Nikola Vucevic,2017-2018,939.0,523.0,191.0,62.0,56.0,57,0.475,0.314,0.8190000000000001,0.5329999999999999,25.9,19.7,3.6,2.7,2.0,12000000.0
61,Ben McLemore,2017-2018,422.0,139.0,51.0,15.0,38.0,56,0.42100000000000004,0.34600000000000003,0.828,0.526,19.0,9.7,0.5,-3.6,-0.4,5330000.0
62,JaMychal Green,2017-2018,569.0,464.0,79.0,25.0,32.0,55,0.457,0.33899999999999997,0.721,0.53,17.8,14.0,2.6,-1.5,0.2,8300000.0
63,Hassan Whiteside,2017-2018,754.0,618.0,54.0,94.0,37.0,54,0.54,1.0,0.703,0.573,24.7,24.1,5.3,0.2,0.8,24354884.0
64,Mike Muscala,2017-2018,405.0,230.0,51.0,27.0,31.0,53,0.45799999999999996,0.371,0.919,0.597,15.7,14.4,2.4,0.2,0.6,5000000.0
65,Tristan Thompson,2017-2018,307.0,352.0,33.0,17.0,16.0,53,0.562,0.0,0.544,0.569,12.6,13.6,2.5,-2.5,-0.1,16399826.0
66,Jared Dudley,2017-2018,152.0,94.0,78.0,11.0,24.0,48,0.39299999999999996,0.363,0.7709999999999999,0.5529999999999999,10.2,8.8,0.8,-1.9,0.0,10000000.0
67,Tyson Chandler,2017-2018,300.0,418.0,53.0,27.0,16.0,46,0.647,0.0,0.624,0.6579999999999999,10.6,14.2,2.7,-0.3,0.5,13000000.0
68,Reggie Jackson,2017-2018,656.0,125.0,238.0,4.0,27.0,45,0.426,0.308,0.836,0.516,27.1,15.9,2.0,-1.5,0.2,12485153.0
69,John Wall,2017-2018,797.0,150.0,393.0,45.0,57.0,41,0.42,0.371,0.726,0.515,29.1,19.1,2.7,1.5,1.2,16284036.4
