,NAME,SEASON,PTS,REB,AST,BLK,STL,G,FG%,3P%,FT%,TS%,USG%,PER,WS,BPM,VORP,SALARY
2,Austin Rivers,2019-2020,598.4000000000001,176.8,115.6,6.800000000000001,47.599999999999994,68,0.42100000000000004,0.35600000000000004,0.703,0.542,15.6,10.4,2.4,-2.5,-0.2,2174310.0
3,Wesley Matthews,2019-2020,495.8,167.5,93.8,6.7,40.199999999999996,67,0.396,0.364,0.765,0.547,12.5,8.1,3.2,-1.8,0.1,2564753.0
4,Robin Lopez,2019-2020,356.40000000000003,158.4,46.199999999999996,46.199999999999996,13.200000000000001,66,0.49200000000000005,0.33299999999999996,0.528,0.5539999999999999,16.6,10.2,1.5,-2.6,-0.2,4767000.0
5,JaMychal Green,2019-2020,428.4,390.6,50.400000000000006,25.200000000000003,31.5,63,0.429,0.387,0.75,0.5760000000000001,13.7,11.1,3.1,-0.5,0.5,4767000.0
6,Anthony Davis,2019-2020,1618.2,576.6,198.4,142.6,93.0,62,0.503,0.33,0.846,0.61,29.3,27.4,11.1,8.0,5.4,24604884.5
7,Willie Cauley-Stein,2019-2020,388.8,313.2,70.2,59.400000000000006,48.6,54,0.579,0.0,0.606,0.589,14.4,17.0,2.9,0.5,0.7,2177483.0
8,Gordon Hayward,2019-2020,910.0,348.40000000000003,213.2,20.8,36.4,52,0.5,0.38299999999999995,0.855,0.595,21.1,18.1,5.7,2.7,2.0,31214295.0
9,Avery Bradley,2019-2020,421.4,112.69999999999999,63.7,4.9,44.1,49,0.444,0.364,0.833,0.537,15.7,8.9,1.5,-2.5,-0.2,4767000.0
10,Rajon Rondo,2019-2020,340.79999999999995,144.0,240.0,0.0,38.400000000000006,48,0.418,0.32799999999999996,0.659,0.494,18.7,12.4,1.4,-1.3,0.2,2564753.0
11,Elfrid Payton,2019-2020,450.0,211.5,324.0,18.0,72.0,45,0.439,0.203,0.57,0.47,19.5,16.0,1.7,0.0,0.6,8000000.0
12,Quinn Cook,2019-2020,224.39999999999998,52.8,48.400000000000006,0.0,13.2,44,0.425,0.365,0.7859999999999999,0.509,21.0,10.0,0.3,-3.8,-0.2,3000000.0
13,Nicolas Batum,2019-2020,79.2,99.0,66.0,8.8,17.6,22,0.34600000000000003,0.28600000000000003,0.9,0.46299999999999997,9.4,9.2,0.6,-1.9,0.0,23217391.5
14,Rodney Hood,2019-2020,231.0,71.39999999999999,31.5,4.2,16.8,21,0.506,0.493,0.778,0.625,13.9,12.2,1.1,-0.9,0.2,5718000.0
