NAME,SEASON,G,FG%,3P%,FT%,REB,AST,STL,BLK,PTS,PER,TS%,USG%,WS,BPM,VORP
Mike Scott,2019-2020,68,0.426,0.369,0.8109999999999999,244.8,54.400000000000006,20.4,6.800000000000001,408.0,11.2,0.557,14.0,2.5,-1.8,0.1
Austin Rivers,2019-2020,68,0.42100000000000004,0.35600000000000004,0.703,176.8,115.6,47.599999999999994,6.800000000000001,598.4000000000001,10.4,0.542,15.6,2.4,-2.5,-0.2
Hassan Whiteside,2019-2020,67,0.621,0.5710000000000001,0.6859999999999999,904.5,80.39999999999999,26.8,194.29999999999998,1038.5,25.0,0.644,19.6,8.5,3.2,2.6
Kyle Anderson,2019-2020,67,0.474,0.282,0.667,288.09999999999997,160.79999999999998,53.6,40.199999999999996,388.59999999999997,12.5,0.534,13.5,2.5,0.5,0.9
T.J. Warren,2019-2020,67,0.536,0.40299999999999997,0.8190000000000001,281.40000000000003,100.5,80.39999999999999,33.5,1326.6000000000001,18.4,0.61,23.3,6.5,1.1,1.7
Rudy Gay,2019-2020,67,0.446,0.336,0.882,361.8,113.89999999999999,33.5,33.5,723.6,15.4,0.5529999999999999,22.0,2.1,-0.8,0.4
Al Horford,2019-2020,67,0.45,0.35,0.763,455.59999999999997,268.0,53.6,60.300000000000004,797.3000000000001,15.7,0.536,17.5,5.4,2.2,2.2
LeBron James,2019-2020,67,0.493,0.348,0.693,522.6,683.4,80.39999999999999,33.5,1695.1000000000001,25.5,0.5770000000000001,31.5,9.8,8.4,6.1
Pat Connaughton,2019-2020,67,0.455,0.331,0.775,281.40000000000003,107.2,26.8,33.5,361.8,11.5,0.565,12.3,3.4,0.6,0.8
Kelly Olynyk,2019-2020,67,0.462,0.406,0.86,308.2,113.89999999999999,46.9,20.099999999999998,549.4,14.6,0.621,17.4,3.7,1.0,1.0
Ja Morant,2019-2020,67,0.47700000000000004,0.335,0.7759999999999999,261.3,489.09999999999997,60.300000000000004,20.099999999999998,1192.6000000000001,17.4,0.556,25.9,3.8,0.3,1.2
Wesley Matthews,2019-2020,67,0.396,0.364,0.765,167.5,93.8,40.199999999999996,6.7,495.8,8.1,0.547,12.5,3.2,-1.8,0.1
Kendrick Nunn,2019-2020,67,0.439,0.35,0.85,180.9,221.1,53.6,13.4,1025.1000000000001,12.9,0.534,24.1,2.0,-2.3,-0.1
Georges Niang,2019-2020,66,0.43799999999999994,0.4,0.833,125.39999999999999,46.199999999999996,19.8,6.6000000000000005,389.40000000000003,11.7,0.589,17.2,1.8,-0.1,0.4
Langston Galloway,2019-2020,66,0.435,0.39899999999999997,0.8590000000000001,151.79999999999998,99.0,46.199999999999996,13.200000000000001,679.8000000000001,12.3,0.584,15.9,3.1,-0.8,0.5
Damian Lillard,2019-2020,66,0.46299999999999997,0.401,0.888,283.8,528.0,72.60000000000001,19.8,1980.0,26.9,0.627,30.3,11.6,7.5,5.9
Jayson Tatum,2019-2020,66,0.45,0.40299999999999997,0.812,462.0,198.0,92.39999999999999,59.4,1544.3999999999999,20.4,0.5670000000000001,28.6,6.9,4.0,3.4
Patty Mills,2019-2020,66,0.431,0.382,0.866,105.60000000000001,118.8,52.800000000000004,6.6000000000000005,765.6,14.8,0.5920000000000001,20.4,2.8,0.0,0.8
Alec Burks,2019-2020,66,0.418,0.385,0.887,283.8,191.4,59.4,19.8,990.0,16.7,0.561,23.8,3.7,0.5,1.1
Dario Šarić,2019-2020,66,0.47600000000000003,0.35700000000000004,0.8440000000000001,409.2,125.39999999999999,39.6,13.200000000000001,706.1999999999999,14.2,0.5920000000000001,17.8,3.6,-0.4,0.7
Aaron Holiday,2019-2020,66,0.414,0.39399999999999996,0.851,158.4,224.4,52.800000000000004,13.200000000000001,627.0,11.6,0.521,18.7,2.1,-1.6,0.2
Robin Lopez,2019-2020,66,0.49200000000000005,0.33299999999999996,0.528,158.4,46.199999999999996,13.200000000000001,46.199999999999996,356.40000000000003,10.2,0.5539999999999999,16.6,1.5,-2.6,-0.2
Dejounte Murray,2019-2020,66,0.462,0.369,0.7979999999999999,382.8,270.59999999999997,112.2,19.8,719.4,16.2,0.524,20.8,2.6,0.4,1.0
